GridFile,ExtForceFile,TransportAutoTimestepdiff,dtUser,dtMax
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,2.8125
../../grids/1x40_net.nc,../../sed/insedfrac_40.ext,0,240,11.25
../../grids/1x20_net.nc,../../sed/insedfrac_20.ext,0,240,45
../../grids/1x10_net.nc,../../sed/insedfrac_10.ext,0,240,180
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,240
../../grids/1x40_net.nc,../../sed/insedfrac_40.ext,1,240,240
../../grids/1x20_net.nc,../../sed/insedfrac_20.ext,1,240,240
../../grids/1x10_net.nc,../../sed/insedfrac_10.ext,1,240,240
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,2.8125
../../grids/1x40_net.nc,../../sed/insedfrac_40.ext,3,240,11.25
../../grids/1x20_net.nc,../../sed/insedfrac_20.ext,3,240,45
../../grids/1x10_net.nc,../../sed/insedfrac_10.ext,3,240,180
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,2.8125
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,1
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,1
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,1
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,2
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,2
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,2
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,3.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,3.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,3.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,4.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,4.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,4.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,10
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,10
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,10
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,1.4
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,1.4
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,1.4
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,0.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,0.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,0.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,4
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,4
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,4
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,20
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,20
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,20
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,0.25
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,0.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,0.75
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,1.25
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,0.25
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,0.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,0.75
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,1.25
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,0.25
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,0.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,0.75
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,1.25
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,1.4062
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,1.4062
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,1.4062
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,0.7031
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,0.7031
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,0.7031
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,0.3516
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,0.3516
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,0.3516
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,0.9
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,0.9
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,0.9
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,1.1
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,1.1
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,1.1
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,1.05
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,1.05
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,1.05
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,2.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,2.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,2.5
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,2.25
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,2.25
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,2.25
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,2.7
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,2.7
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,2.7
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,3
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,3
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,3
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,2.8
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,2.8
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,2.8
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,0,240,2.83
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,1,240,2.83
../../grids/1x80_net.nc,../../sed/insedfrac_80.ext,3,240,2.83
